id,tweet_text,tweet_sentiment,likes,retweets,article_text,topic_predicted,patient_post,primary_emotion,google_search_index,month,youtube_comment,comment_sentiment,video_likes,video_views
247,Breast cancer awareness saves lives. Early detection matters!,positive,175,66,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Survivor stories encourage thousands of women to undergo screening.,anticipation,23,Feb,Thanks for spreading awareness.,negative,4804,98552
248,My mom is a breast cancer survivor. Stay strong everyone!,negative,3,30,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Mammograms and clinical breast exams are primary tools for early detection.,trust,30,Dec,Important topic; more people should watch this.,positive,345,170822
249,October is Breast Cancer Awareness Month. Spread positivity!,neutral,215,99,Recent advancements in treatment have significantly improved recovery rates.,research & funding,Mammograms and clinical breast exams are primary tools for early detection.,fear,45,May,This video changed my perspective on breast cancer.,neutral,6703,49688
250,My mom is a breast cancer survivor. Stay strong everyone!,negative,218,87,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Recent advancements in treatment have significantly improved recovery rates.,trust,46,Aug,Such a powerful survivor story!,positive,5089,164027
251,Research funding for breast cancer is essential.,positive,202,117,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,Recent advancements in treatment have significantly improved recovery rates.,anticipation,76,Jun,I cried watching this. So moving.,negative,9966,99381
252,October is Breast Cancer Awareness Month. Spread positivity!,negative,186,187,Mammograms and clinical breast exams are primary tools for early detection.,survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anticipation,84,Sep,Such a powerful survivor story!,positive,1083,195267
253,My mom is a breast cancer survivor. Stay strong everyone!,negative,443,14,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,Recent advancements in treatment have significantly improved recovery rates.,fear,47,Apr,Important topic; more people should watch this.,positive,2587,27002
254,My mom is a breast cancer survivor. Stay strong everyone!,negative,54,134,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,I just had a mammogram today. Hoping for the best.,sadness,54,Feb,Such a powerful survivor story!,neutral,1103,94092
255,My mom is a breast cancer survivor. Stay strong everyone!,negative,401,88,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,Breast cancer awareness saves lives. Early detection matters!,anger,52,Apr,Very informative explanation of mammograms.,positive,4522,193502
256,October is Breast Cancer Awareness Month. Spread positivity!,neutral,165,51,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,I just had a mammogram today. Hoping for the best.,trust,93,Feb,This video changed my perspective on breast cancer.,negative,3219,83859
257,Research funding for breast cancer is essential.,neutral,420,118,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,Research funding continues to support breakthroughs in oncology.,fear,91,Sep,Very informative explanation of mammograms.,positive,6072,179133
258,Breast cancer awareness saves lives. Early detection matters!,negative,172,86,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,New treatment options bring hope to many women.,trust,52,Oct,Important topic; more people should watch this.,positive,1986,113272
259,Research funding for breast cancer is essential.,neutral,275,45,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,Feeling scared about my screening results.,sadness,24,Jul,This video changed my perspective on breast cancer.,positive,2074,69329
260,I just had a mammogram today. Hoping for the best.,positive,0,189,Recent advancements in treatment have significantly improved recovery rates.,treatment discussions,"Hospital experiences vary, but timely care remains a critical factor.",joy,90,Jun,This video changed my perspective on breast cancer.,positive,5118,11102
261,New treatment options bring hope to many women.,negative,301,53,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,I just had a mammogram today. Hoping for the best.,sadness,60,Feb,Important topic; more people should watch this.,neutral,5344,152691
262,New treatment options bring hope to many women.,negative,283,124,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,I just had a mammogram today. Hoping for the best.,anticipation,56,Sep,I cried watching this. So moving.,negative,3303,52670
263,October is Breast Cancer Awareness Month. Spread positivity!,neutral,459,165,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,New treatment options bring hope to many women.,sadness,93,May,This video changed my perspective on breast cancer.,neutral,8432,189023
264,October is Breast Cancer Awareness Month. Spread positivity!,neutral,114,185,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,Feeling scared about my screening results.,joy,23,May,Important topic; more people should watch this.,neutral,8789,53212
265,Research funding for breast cancer is essential.,positive,198,155,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Recent advancements in treatment have significantly improved recovery rates.,anticipation,43,Nov,This video changed my perspective on breast cancer.,negative,187,96043
266,New treatment options bring hope to many women.,neutral,309,115,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,anger,96,Mar,Such a powerful survivor story!,negative,803,105430
267,New treatment options bring hope to many women.,negative,373,183,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,hospital experience,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,trust,60,May,Important topic; more people should watch this.,neutral,8557,27973
268,October is Breast Cancer Awareness Month. Spread positivity!,negative,157,183,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,Breast cancer awareness saves lives. Early detection matters!,joy,21,Dec,Thanks for spreading awareness.,positive,7251,121477
269,Breast cancer awareness saves lives. Early detection matters!,negative,327,46,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,October is Breast Cancer Awareness Month. Spread positivity!,fear,74,Dec,Important topic; more people should watch this.,negative,8666,62837
270,I just had a mammogram today. Hoping for the best.,positive,263,41,Research funding continues to support breakthroughs in oncology.,survivor stories,My mom is a breast cancer survivor. Stay strong everyone!,anger,60,Sep,Thanks for spreading awareness.,negative,2645,78494
271,New treatment options bring hope to many women.,negative,170,108,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,I just had a mammogram today. Hoping for the best.,trust,53,Nov,Such a powerful survivor story!,positive,468,137254
272,Research funding for breast cancer is essential.,positive,232,153,"Hospital experiences vary, but timely care remains a critical factor.",screening & mammogram,New treatment options bring hope to many women.,trust,55,Oct,Very informative explanation of mammograms.,positive,9080,60960
273,My mom is a breast cancer survivor. Stay strong everyone!,neutral,248,186,Research funding continues to support breakthroughs in oncology.,research & funding,Feeling scared about my screening results.,trust,46,Aug,Such a powerful survivor story!,neutral,9280,103386
274,New treatment options bring hope to many women.,negative,189,42,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,Breast cancer awareness saves lives. Early detection matters!,fear,46,Nov,Thanks for spreading awareness.,negative,6197,10473
275,Breast cancer awareness saves lives. Early detection matters!,positive,333,169,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,"Hospital experiences vary, but timely care remains a critical factor.",anticipation,61,Jul,Important topic; more people should watch this.,negative,347,97574
276,October is Breast Cancer Awareness Month. Spread positivity!,positive,432,7,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,fear,74,Nov,Thanks for spreading awareness.,negative,6266,108949
277,I just had a mammogram today. Hoping for the best.,positive,162,129,Research funding continues to support breakthroughs in oncology.,survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,trust,87,Aug,I cried watching this. So moving.,negative,8110,88434
278,My mom is a breast cancer survivor. Stay strong everyone!,positive,438,198,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,Survivor stories encourage thousands of women to undergo screening.,sadness,91,May,Thanks for spreading awareness.,positive,988,46320
279,New treatment options bring hope to many women.,negative,94,68,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anticipation,28,Apr,Important topic; more people should watch this.,positive,9299,179294
280,New treatment options bring hope to many women.,negative,185,83,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,"Hospital experiences vary, but timely care remains a critical factor.",fear,40,Dec,Thanks for spreading awareness.,positive,8984,120558
281,New treatment options bring hope to many women.,positive,304,123,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,I just had a mammogram today. Hoping for the best.,sadness,92,Feb,This video changed my perspective on breast cancer.,neutral,716,63253
282,New treatment options bring hope to many women.,neutral,268,67,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Survivor stories encourage thousands of women to undergo screening.,trust,47,Feb,Such a powerful survivor story!,positive,2765,133015
283,October is Breast Cancer Awareness Month. Spread positivity!,negative,304,4,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,Breast cancer awareness saves lives. Early detection matters!,anger,44,Jul,Important topic; more people should watch this.,neutral,4215,180539
284,My mom is a breast cancer survivor. Stay strong everyone!,neutral,344,111,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,joy,87,Aug,Thanks for spreading awareness.,negative,7952,8793
285,New treatment options bring hope to many women.,neutral,354,140,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anger,29,Oct,I cried watching this. So moving.,negative,4861,17019
286,My mom is a breast cancer survivor. Stay strong everyone!,positive,145,138,Research funding continues to support breakthroughs in oncology.,research & funding,Feeling scared about my screening results.,joy,59,Jul,Important topic; more people should watch this.,positive,641,42386
287,Research funding for breast cancer is essential.,neutral,288,114,Mammograms and clinical breast exams are primary tools for early detection.,research & funding,New treatment options bring hope to many women.,fear,90,Aug,This video changed my perspective on breast cancer.,neutral,7956,197286
288,I just had a mammogram today. Hoping for the best.,neutral,315,33,Research funding continues to support breakthroughs in oncology.,survivor stories,October is Breast Cancer Awareness Month. Spread positivity!,sadness,31,Sep,This video changed my perspective on breast cancer.,negative,4252,54098
289,Feeling scared about my screening results.,negative,107,102,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,I just had a mammogram today. Hoping for the best.,joy,37,Jul,Such a powerful survivor story!,neutral,8416,112191
290,My mom is a breast cancer survivor. Stay strong everyone!,negative,478,127,Research funding continues to support breakthroughs in oncology.,research & funding,Survivor stories encourage thousands of women to undergo screening.,joy,41,Jan,I cried watching this. So moving.,negative,7517,38663
291,I just had a mammogram today. Hoping for the best.,negative,340,155,Research funding continues to support breakthroughs in oncology.,screening & mammogram,New treatment options bring hope to many women.,sadness,90,Apr,I cried watching this. So moving.,positive,212,130986
292,October is Breast Cancer Awareness Month. Spread positivity!,positive,185,40,Survivor stories encourage thousands of women to undergo screening.,research & funding,New treatment options bring hope to many women.,trust,23,Jan,Such a powerful survivor story!,neutral,1228,176929
293,I just had a mammogram today. Hoping for the best.,positive,205,149,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,New treatment options bring hope to many women.,sadness,85,Feb,Thanks for spreading awareness.,neutral,9444,165789
294,Breast cancer awareness saves lives. Early detection matters!,neutral,183,122,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,October is Breast Cancer Awareness Month. Spread positivity!,trust,82,Apr,I cried watching this. So moving.,neutral,3550,19828
295,October is Breast Cancer Awareness Month. Spread positivity!,positive,28,78,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,New treatment options bring hope to many women.,fear,34,Dec,I cried watching this. So moving.,neutral,551,12490
296,I just had a mammogram today. Hoping for the best.,positive,349,127,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Research funding for breast cancer is essential.,fear,92,Apr,Such a powerful survivor story!,neutral,5157,8094
297,My mom is a breast cancer survivor. Stay strong everyone!,negative,165,35,Survivor stories encourage thousands of women to undergo screening.,research & funding,I just had a mammogram today. Hoping for the best.,fear,58,May,This video changed my perspective on breast cancer.,positive,6365,85570
298,New treatment options bring hope to many women.,positive,273,2,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,Feeling scared about my screening results.,joy,40,Aug,Very informative explanation of mammograms.,neutral,6535,87296
299,New treatment options bring hope to many women.,negative,151,117,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Mammograms and clinical breast exams are primary tools for early detection.,sadness,72,Jun,Thanks for spreading awareness.,negative,5478,108560
300,New treatment options bring hope to many women.,positive,109,17,Recent advancements in treatment have significantly improved recovery rates.,screening & mammogram,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anger,36,Sep,Important topic; more people should watch this.,neutral,3323,173023
301,I just had a mammogram today. Hoping for the best.,neutral,156,162,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anger,72,Aug,This video changed my perspective on breast cancer.,negative,776,107896
302,My mom is a breast cancer survivor. Stay strong everyone!,neutral,66,175,Research funding continues to support breakthroughs in oncology.,awareness campaign,Feeling scared about my screening results.,anger,47,Jan,This video changed my perspective on breast cancer.,positive,8073,122815
303,My mom is a breast cancer survivor. Stay strong everyone!,positive,145,183,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,I just had a mammogram today. Hoping for the best.,anger,90,Apr,Such a powerful survivor story!,positive,5372,102883
304,I just had a mammogram today. Hoping for the best.,negative,190,137,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,Survivor stories encourage thousands of women to undergo screening.,anticipation,90,Oct,This video changed my perspective on breast cancer.,positive,5389,122931
305,New treatment options bring hope to many women.,positive,417,93,Research funding continues to support breakthroughs in oncology.,hospital experience,Survivor stories encourage thousands of women to undergo screening.,anger,93,Feb,Such a powerful survivor story!,positive,7606,123935
306,Feeling scared about my screening results.,neutral,211,173,Research funding continues to support breakthroughs in oncology.,hospital experience,Research funding for breast cancer is essential.,fear,88,Apr,Important topic; more people should watch this.,negative,2641,194329
307,Research funding for breast cancer is essential.,negative,192,56,Mammograms and clinical breast exams are primary tools for early detection.,survivor stories,Breast cancer awareness saves lives. Early detection matters!,trust,45,Aug,Very informative explanation of mammograms.,positive,1507,146152
308,Feeling scared about my screening results.,neutral,45,177,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,research & funding,My mom is a breast cancer survivor. Stay strong everyone!,joy,30,Apr,This video changed my perspective on breast cancer.,neutral,7335,151136
309,Research funding for breast cancer is essential.,positive,309,108,Research funding continues to support breakthroughs in oncology.,treatment discussions,Recent advancements in treatment have significantly improved recovery rates.,trust,86,Nov,Very informative explanation of mammograms.,neutral,9322,76346
310,I just had a mammogram today. Hoping for the best.,positive,454,13,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,hospital experience,Recent advancements in treatment have significantly improved recovery rates.,anger,28,Jan,Such a powerful survivor story!,positive,4069,169899
311,Breast cancer awareness saves lives. Early detection matters!,positive,313,178,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,My mom is a breast cancer survivor. Stay strong everyone!,joy,31,Aug,Very informative explanation of mammograms.,positive,3087,190166
312,New treatment options bring hope to many women.,negative,185,39,Research funding continues to support breakthroughs in oncology.,hospital experience,Research funding for breast cancer is essential.,fear,71,Feb,Thanks for spreading awareness.,positive,9921,20713
313,Feeling scared about my screening results.,positive,462,124,Survivor stories encourage thousands of women to undergo screening.,screening & mammogram,New treatment options bring hope to many women.,fear,66,Sep,I cried watching this. So moving.,positive,5853,95885
314,I just had a mammogram today. Hoping for the best.,neutral,167,52,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,"Hospital experiences vary, but timely care remains a critical factor.",fear,95,Dec,Important topic; more people should watch this.,neutral,5848,50548
315,New treatment options bring hope to many women.,positive,279,123,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,Mammograms and clinical breast exams are primary tools for early detection.,fear,25,Jan,Important topic; more people should watch this.,negative,6250,75064
316,Breast cancer awareness saves lives. Early detection matters!,negative,451,29,Survivor stories encourage thousands of women to undergo screening.,research & funding,"Hospital experiences vary, but timely care remains a critical factor.",trust,61,Jun,Very informative explanation of mammograms.,negative,8595,93260
317,I just had a mammogram today. Hoping for the best.,negative,182,196,Survivor stories encourage thousands of women to undergo screening.,survivor stories,Research funding continues to support breakthroughs in oncology.,sadness,77,Nov,I cried watching this. So moving.,neutral,6696,15507
318,October is Breast Cancer Awareness Month. Spread positivity!,negative,321,159,Mammograms and clinical breast exams are primary tools for early detection.,survivor stories,Mammograms and clinical breast exams are primary tools for early detection.,sadness,34,Apr,Thanks for spreading awareness.,neutral,3918,91052
319,October is Breast Cancer Awareness Month. Spread positivity!,neutral,125,160,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,Research funding for breast cancer is essential.,joy,75,Jun,Such a powerful survivor story!,neutral,2902,119309
320,October is Breast Cancer Awareness Month. Spread positivity!,neutral,424,75,Mammograms and clinical breast exams are primary tools for early detection.,awareness campaign,Breast cancer awareness saves lives. Early detection matters!,anticipation,55,Feb,This video changed my perspective on breast cancer.,neutral,8917,52107
321,Breast cancer awareness saves lives. Early detection matters!,negative,385,43,Survivor stories encourage thousands of women to undergo screening.,treatment discussions,October is Breast Cancer Awareness Month. Spread positivity!,sadness,71,Jul,Thanks for spreading awareness.,neutral,5358,73876
322,Research funding for breast cancer is essential.,positive,134,192,Recent advancements in treatment have significantly improved recovery rates.,survivor stories,My mom is a breast cancer survivor. Stay strong everyone!,sadness,23,Apr,This video changed my perspective on breast cancer.,positive,8606,176935
323,I just had a mammogram today. Hoping for the best.,positive,181,141,"Hospital experiences vary, but timely care remains a critical factor.",hospital experience,Research funding continues to support breakthroughs in oncology.,fear,85,Feb,I cried watching this. So moving.,neutral,120,158431
324,October is Breast Cancer Awareness Month. Spread positivity!,neutral,295,94,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,My mom is a breast cancer survivor. Stay strong everyone!,joy,69,Feb,Such a powerful survivor story!,positive,8877,196916
325,I just had a mammogram today. Hoping for the best.,neutral,468,12,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,screening & mammogram,October is Breast Cancer Awareness Month. Spread positivity!,fear,63,Jan,Such a powerful survivor story!,neutral,9305,13523
326,Feeling scared about my screening results.,negative,274,177,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,Recent advancements in treatment have significantly improved recovery rates.,anticipation,66,Mar,I cried watching this. So moving.,positive,7968,195891
327,October is Breast Cancer Awareness Month. Spread positivity!,positive,134,71,Mammograms and clinical breast exams are primary tools for early detection.,screening & mammogram,My mom is a breast cancer survivor. Stay strong everyone!,trust,71,Dec,I cried watching this. So moving.,positive,8151,71443
328,Research funding for breast cancer is essential.,negative,228,43,Research funding continues to support breakthroughs in oncology.,screening & mammogram,Research funding continues to support breakthroughs in oncology.,anger,94,Dec,This video changed my perspective on breast cancer.,neutral,7491,46470
329,Breast cancer awareness saves lives. Early detection matters!,negative,303,157,Survivor stories encourage thousands of women to undergo screening.,screening & mammogram,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,fear,54,Dec,Such a powerful survivor story!,negative,9829,190132
330,October is Breast Cancer Awareness Month. Spread positivity!,negative,323,186,Recent advancements in treatment have significantly improved recovery rates.,research & funding,Recent advancements in treatment have significantly improved recovery rates.,joy,63,Jun,Very informative explanation of mammograms.,positive,9879,77087
331,Feeling scared about my screening results.,positive,289,47,Research funding continues to support breakthroughs in oncology.,awareness campaign,My mom is a breast cancer survivor. Stay strong everyone!,trust,54,Sep,This video changed my perspective on breast cancer.,positive,640,116099
332,Feeling scared about my screening results.,neutral,249,192,"Hospital experiences vary, but timely care remains a critical factor.",screening & mammogram,Feeling scared about my screening results.,joy,88,Aug,This video changed my perspective on breast cancer.,positive,6022,160792
333,My mom is a breast cancer survivor. Stay strong everyone!,neutral,272,193,"Hospital experiences vary, but timely care remains a critical factor.",screening & mammogram,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,sadness,83,Apr,Such a powerful survivor story!,neutral,2427,18973
334,I just had a mammogram today. Hoping for the best.,neutral,302,88,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,"Hospital experiences vary, but timely care remains a critical factor.",fear,34,Oct,Such a powerful survivor story!,positive,5223,148131
335,Feeling scared about my screening results.,negative,388,77,"Hospital experiences vary, but timely care remains a critical factor.",survivor stories,My mom is a breast cancer survivor. Stay strong everyone!,joy,48,Jun,Very informative explanation of mammograms.,negative,4016,95614
336,Feeling scared about my screening results.,negative,74,150,Recent advancements in treatment have significantly improved recovery rates.,treatment discussions,October is Breast Cancer Awareness Month. Spread positivity!,joy,80,Apr,Important topic; more people should watch this.,neutral,8591,94136
337,My mom is a breast cancer survivor. Stay strong everyone!,positive,365,126,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,survivor stories,Recent advancements in treatment have significantly improved recovery rates.,anticipation,22,Jun,This video changed my perspective on breast cancer.,positive,8415,14331
338,Breast cancer awareness saves lives. Early detection matters!,neutral,47,69,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anticipation,44,Nov,Such a powerful survivor story!,neutral,5106,122924
339,My mom is a breast cancer survivor. Stay strong everyone!,positive,192,73,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Mammograms and clinical breast exams are primary tools for early detection.,fear,83,Jun,Thanks for spreading awareness.,negative,2576,162655
340,Research funding for breast cancer is essential.,negative,70,6,Recent advancements in treatment have significantly improved recovery rates.,research & funding,Breast cancer awareness saves lives. Early detection matters!,trust,82,Nov,I cried watching this. So moving.,neutral,4760,189998
341,My mom is a breast cancer survivor. Stay strong everyone!,positive,215,145,Mammograms and clinical breast exams are primary tools for early detection.,survivor stories,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,anger,69,Aug,I cried watching this. So moving.,positive,4820,131406
342,Research funding for breast cancer is essential.,neutral,166,191,"Hospital experiences vary, but timely care remains a critical factor.",awareness campaign,I just had a mammogram today. Hoping for the best.,joy,85,Nov,Thanks for spreading awareness.,negative,3606,119806
343,My mom is a breast cancer survivor. Stay strong everyone!,neutral,452,60,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,sadness,99,Oct,Very informative explanation of mammograms.,neutral,4891,166487
344,I just had a mammogram today. Hoping for the best.,negative,144,70,Research funding continues to support breakthroughs in oncology.,survivor stories,Recent advancements in treatment have significantly improved recovery rates.,anger,43,Apr,Such a powerful survivor story!,neutral,4707,187033
345,Breast cancer awareness saves lives. Early detection matters!,negative,199,127,Survivor stories encourage thousands of women to undergo screening.,awareness campaign,Research funding for breast cancer is essential.,joy,66,Jul,Very informative explanation of mammograms.,neutral,7044,180979
346,My mom is a breast cancer survivor. Stay strong everyone!,neutral,142,161,Mammograms and clinical breast exams are primary tools for early detection.,hospital experience,October is Breast Cancer Awareness Month. Spread positivity!,sadness,57,May,I cried watching this. So moving.,neutral,7653,79974
347,New treatment options bring hope to many women.,positive,432,121,"Hospital experiences vary, but timely care remains a critical factor.",treatment discussions,Research funding continues to support breakthroughs in oncology.,sadness,44,Nov,Thanks for spreading awareness.,negative,4992,159863
348,New treatment options bring hope to many women.,negative,428,152,Breast cancer is a leading health concern among women worldwide. Awareness campaigns promote early screening.,awareness campaign,Survivor stories encourage thousands of women to undergo screening.,fear,95,Nov,This video changed my perspective on breast cancer.,positive,3937,11844
349,Feeling scared about my screening results.,negative,283,138,Recent advancements in treatment have significantly improved recovery rates.,awareness campaign,October is Breast Cancer Awareness Month. Spread positivity!,joy,36,Jul,This video changed my perspective on breast cancer.,positive,1546,156908
350,Breast cancer awareness saves lives. Early detection matters!,negative,406,95,Recent advancements in treatment have significantly improved recovery rates.,hospital experience,Research funding for breast cancer is essential.,anger,72,Jan,This video changed my perspective on breast cancer.,negative,5347,47064
